user_id,total_number_of_sessions,total_page_clicks,avg_page_clicks,flights_booked_and_not_cancelled,hotels_booked_and_not_cancelled,total_cancellations,total_trips,avg_checked_bags,avg_seats,pct_discounted_flights,pct_discounted_hotels,avg_flights_discount,avg_hotel_discount,avg_flights_spending,avg_hotel_spending,avg_nights_spend,avg_rooms_taken,avg_return_flight_booked,avg_session_duration,avg_time_to_flight,avg_trip_duration,distinct_airlines,age,gender,married,has_children,home_country,home_city,home_airport,sign_up_date,latest_session,earliest_session,avg_distance_flown,perc_of_domestic_flights,perc_of_flights_without_hotels,perc_of_hotels_without_flights
23557,8,82,10.25,0,2,0,2,,,0.0,25.0,,0.175,,177.0,10.0,1.5,0.0,76.625,,,0,66,F,1,0,usa,new york,LGA,2021-07-22,2023-07-14 12:37:09.000000,2023-01-04 19:30:00,,0.0,0.0,0.25
94883,7,46,6.571428571428571,1,1,0,1,,,0.0,14.285714285714286,,0.1,240.92,130.0,1.0,1.0,0.14285714285714285,49.428571,758000.0,172800.0,1,53,F,1,0,usa,kansas city,MCI,2022-02-07,2023-05-28 17:28:23.000000,2023-01-10 12:20:00,,0.14285714285714285,0.0,0.0
101486,8,131,16.375,1,2,0,2,,,25.0,0.0,0.075,,189.91,198.5,4.0,1.5,0.125,122.25,781042.0,345600.0,1,52,F,1,1,usa,tacoma,TCM,2022-02-17,2023-07-18 09:35:22.000000,2023-01-21 08:02:00,,0.125,0.0,0.125
101961,8,126,15.75,5,5,0,5,0.0,1.0,25.0,12.5,0.15,0.1,248.532,136.0,3.8,1.0,0.625,117.75,540636.8,414720.0,5,45,F,1,0,usa,boston,BOS,2022-02-17,2023-06-22 13:30:01.000000,2023-01-19 03:38:00,,0.625,0.0,0.0
106907,8,240,30.0,1,1,1,1,,,0.0,0.0,,,13902.06,129.0,11.0,3.0,0.125,758.915066,17166928.839736,1123200.0,1,46,F,1,1,usa,miami,TNT,2022-02-24,2023-07-27 11:05:14.320529,2023-01-10 17:24:00,125.00785428524081,0.0,0.0,0.0
118043,8,164,20.5,3,4,0,5,,,25.0,37.5,0.2,0.11666666666666667,779.7633333333333,227.25,5.5,1.25,0.375,153.125,810035.0,403200.0,3,53,F,0,1,usa,los angeles,LAX,2022-03-10,2023-07-15 02:07:00.000000,2023-02-05 08:34:00,,0.375,0.125,0.25
120851,8,55,6.875,1,1,0,1,,,25.0,0.0,0.225,,384.68,182.0,11.0,1.0,0.125,51.75,648111.0,1036800.0,1,53,F,1,1,usa,santa ana,SNA,2022-03-13,2023-06-12 07:31:16.000000,2023-01-04 19:49:00,,0.125,0.0,0.0
125845,9,159,17.666666666666668,3,3,0,3,1.0,2.0,11.11111111111111,11.11111111111111,0.15,0.05,584.44,123.66666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333333,131.777778,785081.666667,288000.0,3,41,F,1,0,usa,el paso,BIF,2022-03-19,2023-07-20 13:15:22.000000,2023-01-08 14:28:00,,0.3333333333333333,0.0,0.0
133058,8,73,9.125,1,0,0,1,,,0.0,12.5,,0.05,423.51,,,,0.125,68.125,561041.0,345600.0,1,20,F,0,0,usa,austin,AUS,2022-03-27,2023-07-16 20:27:39.000000,2023-01-07 18:40:00,,0.125,0.125,0.0
149058,7,126,18.0,4,4,0,4,0.0,1.0,14.285714285714286,0.0,0.05,,366.715,159.25,6.25,1.25,0.5714285714285714,133.857143,597800.75,669600.0,4,52,F,0,1,usa,birmingham,BHM,2022-04-14,2023-06-19 16:57:59.000000,2023-01-22 21:58:00,,0.5714285714285714,0.0,0.0
